Row Labels,Total
E01012476,3
E01018592,1
E01018651,1
E01025358,4
E01025537,2
E01032556,16
E01032557,23
E01032558,4
E01032559,15
E01032684,20
E01032685,35
E01032686,33
E01032687,20
E01032906,15
E01032907,8
E01032909,19
E01032911,16
E01032912,35
E01032914,10
E01032915,13
E01032917,16
E01032919,33
E01032920,59
E01032921,48
E01032922,11
E01033217,92
E01033218,5
E01033219,6
E01033220,38
E01033258,24
E01033330,16
E01033651,37
E01033652,26
E01033653,461
E01033654,79
E01033655,22
E01033656,17
E01033657,22
E01033658,502
E01033659,67
E01033660,3
E01033661,49
E01033662,27
E01033663,11
E01033664,75
E01033665,26
E01033666,43
E01033667,122
E01033668,5
E01033669,135
E01033670,7
E01033671,28
E01033672,17
E01033673,3
E01033674,59
E01033675,19
E01033676,38
E01033677,127
E01033678,32
E01033679,30
E01033680,1
E01033681,17
E01033682,17
E01033683,33
E01033684,1
E01033685,13
E01033686,10
E01033687,20
E01033688,33
Grand Total,30111
